	55157
AC011824.4	2511
AC011825.1	125
AC011825.2	81
AC011825.3	19
AC011825.4	54
AC011840.1	151
AC011840.2	63
AC011840.3	255
AC011840.4	60
AC011840.5	125
AC011846.1	80
AC011850.1	649
AC011853.1	446
AC011853.2	769
AC011890.1	1311
AC011891.1	421
AC011891.2	135
AC011891.3	57
AC011893.1	214
AC011894.1	145
AC011897.1	432
AC011899.1	2707
AC011899.2	1720
AC011899.3	811
AC011899.4	1074
AC011901.1	636
AC011904.1	132
AC011912.1	2353
AC011921.1	51
AC011921.2	79
AC011921.3	179
AC011933.1	78
AC011933.2	85
AC011933.3	29
AC011933.4	16
AC011939.1	27
AC011939.2	38
AC011939.3	124
AC011944.1	1504
AC011944.2	289
AC011978.1	186
AC011978.2	689
AC011979.1	143
AC011979.2	535
AC011990.1	1219
AC011994.1	629
AC011995.1	1100
AC011995.2	108
AC011997.1	3041
AC011997.2	764
AC011998.1	195
AC011998.2	574
AC011998.3	597
AC012020.1	733
AC012038.1	264
AC012038.2	1080
AC012044.1	120
AC012046.1	124
AC012048.1	1776
AC012050.1	1080
AC012055.1	396
AC012055.2	518
AC012060.1	1268
AC012063.1	958
AC012065.1	208
AC012065.2	97
AC012065.3	112
AC012065.4	593
AC012066.1	404
AC012066.2	262
AC012070.1	1232
AC012073.1	428
AC012075.1	699
AC012076.1	517
AC012076.2	1485
AC012078.1	42
AC012078.2	22
AC012081.1	1060
AC012081.2	583
AC012085.1	532
AC012085.2	288
AC012087.1	1024
AC012087.2	72
AC012100.1	393
AC012100.2	75
AC012100.3	65
AC012101.1	901
AC012101.2	176
AC012103.1	1508
AC012119.1	184
AC012119.2	161
AC012123.1	625
AC012123.2	484
AC012146.1	411
AC012146.2	138
AC012146.3	117
AC012146.4	349
AC012150.1	850
AC012150.2	62
AC012157.1	682
AC012157.2	269
AC012157.3	730
AC012158.1	61
AC012158.2	451
AC012170.1	73
AC012173.1	103
AC012174.1	5707
AC012175.1	6265
AC012178.1	248
AC012181.1	6
AC012181.2	15
AC012182.1	280
AC012182.2	153
AC012183.1	163
AC012184.1	102
AC012184.2	27
AC012184.3	29
AC012184.4	108
AC012186.1	194
AC012186.2	25
AC012186.3	27
AC012213.1	17
AC012213.2	969
AC012213.3	183
AC012213.4	405
AC012213.5	248
AC012229.1	2404
AC012236.1	969
AC012254.1	134
AC012254.3	67
AC012254.4	266
AC012254.5	293
AC012291.1	230
AC012291.2	49
AC012291.3	125
AC012301.1	637
AC012301.2	312
AC012301.3	688
AC012306.1	225
AC012306.2	32
AC012306.3	30
AC012306.4	155
AC012307.1	241
AC012308.1	557
AC012309.1	24
AC012309.2	56
AC012313.1	147
AC012313.10	114
AC012313.2	56
AC012313.3	21
AC012313.4	36
AC012313.5	41
AC012313.6	35
AC012313.7	27
AC012313.8	73
AC012313.9	78
AC012314.9	492
AC012317.1	401
AC012317.2	3123
AC012321.1	42
AC012322.1	2590
AC012323.1	660
AC012325.1	388
AC012339.1	452
AC012349.1	666
AC012354.1	315
AC012354.2	1799
AC012354.3	27
AC012354.4	46
AC012354.5	25
AC012354.6	141
AC012354.7	43
AC012354.8	32
AC012354.9	287
AC012355.1	1141
AC012358.1	126
AC012358.2	99
AC012358.3	278
AC012358.4	111
AC012360.1	109
AC012360.2	698
AC012360.3	928
AC012363.1	303
AC012363.2	256
AC012363.3	272
AC012366.1	1892
AC012368.1	609
AC012368.2	337
AC012368.3	298
AC012370.1	199
AC012370.2	247
AC012377.1	340
AC012378.1	326
AC012378.2	571
AC012379.1	86
AC012379.2	218
AC012400.1	3407
AC012404.1	1233
AC012404.2	142
AC012405.1	379
AC012409.1	1195
AC012409.2	554
AC012409.3	435
AC012409.4	173
AC012409.5	78
AC012413.1	724
AC012414.1	7
AC012414.2	18
AC012414.3	5
AC012414.4	3
AC012414.5	4
AC012414.6	3
AC012417.1	306
AC012433.1	1620
AC012433.2	2402
AC012435.1	190
AC012435.2	42
AC012435.3	152
AC012441.1	734
AC012441.2	247
AC012442.1	144
AC012442.2	59
AC012442.3	100
AC012443.1	175
AC012443.2	200
AC012445.1	1842
AC012447.1	298
AC012451.1	2071
AC012456.1	168
AC012456.2	169
AC012459.1	1092
AC012462.1	496
AC012462.2	163
AC012462.3	477
AC012464.1	365
AC012464.2	169
AC012464.3	426
AC012467.1	1800
AC012467.2	208
AC012468.1	471
AC012470.1	3414
AC012485.1	260
AC012485.2	308
AC012485.3	297
AC012486.1	149
AC012488.1	236
AC012488.2	10
AC012491.1	2287
AC012493.1	700
AC012494.1	996
AC012494.2	1170
AC012500.1	263
AC012501.1	197
AC012501.2	380
AC012501.3	561
AC012506.1	2198
AC012506.2	279
AC012506.3	3360
AC012506.4	392
AC012507.1	357
AC012507.2	191
AC012507.3	221
AC012508.1	52
AC012508.2	1686
AC012508.3	191
AC012510.1	82
AC012511.1	337
AC012511.2	341
AC012513.1	440
AC012513.2	344
AC012513.3	97
AC012519.1	1823
AC012531.1	45
AC012531.2	113
AC012531.3	17
AC012531.4	35
AC012531.5	287
AC012531.6	134
AC012531.7	94
AC012533.1	607
AC012535.1	2462
AC012555.1	218
AC012555.2	598
AC012557.1	128
AC012557.2	132
AC012558.1	1018
AC012560.1	1346
AC012560.2	1442
AC012564.1	1189
AC012568.1	194
AC012569.1	358
AC012572.1	4248
AC012572.3	2621
AC012574.1	2832
AC012574.2	472
AC012588.1	1985
AC012588.2	141
AC012593.1	1932
AC012593.2	689
AC012603.1	561
AC012613.1	101
AC012613.2	331
AC012615.1	36
AC012615.2	70
AC012615.3	143
AC012615.4	80
AC012615.5	38
AC012615.6	31
AC012616.1	65
AC012618.1	52
AC012618.2	87
AC012618.3	48
AC012625.1	549
AC012629.1	4900
AC012629.2	1200
AC012629.3	211
AC012629.4	75
AC012636.1	289
AC012640.1	120
AC012640.2	70
AC012640.3	111
AC012640.4	128
AC012640.5	19
AC012640.6	50
AC012640.7	69
AC012645.1	8
AC012645.2	29
AC012645.3	95
AC012645.4	109
AC012651.1	38
AC012653.1	323
AC012653.2	1954
AC012668.1	601
AC012668.2	544
AC012668.3	167
AC012669.1	1202
AC012671.1	86
AC012673.1	253
AC012676.1	27
AC012676.2	105
AC012676.3	4
AC012676.4	44
AC012676.5	10
AC013244.1	56
AC013244.2	456
AC013244.3	165
AC013248.1	1578
AC013262.1	1259
AC013265.1	963
AC013267.1	2
AC013267.2	61
AC013267.3	268
AC013268.2	18
AC013268.3	56
AC013268.4	4
AC013268.5	1
AC013269.2	2
AC013270.1	462
AC013275.1	510
AC013277.1	545
AC013286.1	368
AC013287.1	382
AC013290.1	1037
AC013355.1	118
AC013356.1	312
AC013356.2	24
AC013356.3	305
AC013356.4	195
AC013391.1	423
AC013391.2	272
AC013391.3	1324
AC013394.1	262
AC013399.1	1098
AC013400.1	265
AC013401.1	2343
AC013401.2	5
AC013402.1	399
AC013402.2	755
AC013402.3	632
AC013403.1	137
AC013403.2	16
AC013404.1	4248
AC013406.1	1479
AC013410.1	731
AC013410.2	895
AC013412.1	6
AC013417.1	884
AC013429.1	292
AC013429.2	275
AC013436.1	409
AC013437.1	1057
AC013439.1	248
AC013439.2	134
AC013442.1	1558
AC013448.1	784
AC013448.2	773
AC013451.1	275
AC013451.2	386
AC013452.1	63
AC013452.2	22
AC013452.3	312
AC013456.1	441
AC013457.1	1254
AC013460.1	914
AC013467.1	145
AC013467.2	133
AC013467.3	265
AC013468.1	39
AC013470.1	155
AC013470.2	817
AC013470.3	43
AC013470.4	880
AC013471.1	2347
AC013472.1	775
AC013472.2	16
AC013474.1	71
AC013474.2	160
AC013476.1	1246
AC013477.1	45
AC013480.1	488
AC013486.1	124
AC013489.2	356
AC013489.3	194
AC013509.1	411
AC013549.1	78
AC013549.2	170
AC013549.3	575
AC013549.4	510
AC013553.1	139
AC013553.2	161
AC013553.3	212
AC013553.4	269
AC013562.1	1361
AC013562.2	707
AC013564.1	164
AC013565.1	206
AC013565.2	173
AC013565.3	198
AC013603.1	66
AC013640.1	173
AC013643.1	364
AC013643.2	128
AC013643.3	191
AC013644.1	150
AC013652.1	240
AC013652.2	1315
AC013701.1	571
AC013701.2	382
AC013714.1	597
AC013716.1	1384
AC013717.1	4
AC013724.1	1006
AC013726.1	220
AC013726.2	1266
AC013727.1	1730
AC013727.2	220
AC013727.3	948
AC013731.1	48
AC013733.1	898
AC013733.2	796
AC013734.1	1
AC013738.1	2517
AC013762.1	1132
AC013791.1	33
AC013799.1	617
AC013828.1	48
AC013828.2	465
AC015468.1	390
AC015468.2	289
AC015468.3	1912
AC015522.1	1280
AC015540.1	1005
AC015550.1	113
AC015563.1	215
AC015563.2	114
AC015563.3	351
AC015574.1	1032
AC015599.1	1611
AC015599.2	4
AC015599.3	2
AC015631.1	2187
AC015641.1	104
AC015656.1	722
AC015660.1	162
AC015660.2	191
AC015660.3	617
AC015660.4	308
AC015660.5	157
AC015674.1	919
AC015687.1	971
AC015688.1	268
AC015688.2	250
AC015688.3	157
AC015688.4	248
AC015688.5	53
AC015688.6	54
AC015689.1	234
AC015712.1	800
AC015712.2	339
AC015712.3	364
AC015712.4	64
AC015712.5	143
AC015712.6	74
AC015712.7	397
AC015720.1	449
AC015720.2	627
AC015720.3	82
AC015722.1	1394
AC015722.2	1059
AC015726.1	166
AC015726.2	219
AC015726.3	23
AC015727.1	62
AC015743.1	561
AC015795.1	369
AC015799.1	81
AC015802.1	287
AC015802.2	131
AC015802.3	120
AC015802.4	144
AC015802.5	5
AC015802.6	70
AC015802.7	265
AC015804.1	178
AC015813.1	22
AC015813.2	31
AC015813.3	596
AC015813.4	109
AC015813.5	276
AC015813.6	236
AC015813.7	38
AC015813.8	368
AC015818.1	43
AC015818.10	8
AC015818.2	18
AC015818.3	88
AC015818.4	91
AC015818.5	19
AC015818.6	77
AC015818.7	6
AC015818.8	32
AC015818.9	14
AC015819.1	704
AC015819.2	781
AC015819.3	312
AC015819.4	722
AC015819.5	465
AC015845.1	203
AC015845.2	190
AC015849.1	41
AC015849.2	87
AC015849.3	16
AC015849.4	107
AC015849.5	51
AC015849.6	44
AC015849.7	475
AC015853.1	95
AC015853.2	147
AC015853.3	138
AC015871.1	145
AC015871.2	133
AC015871.3	17
AC015871.4	43
AC015871.5	71
AC015871.6	16
AC015871.7	16
AC015871.8	4
AC015878.1	417
AC015878.2	717
AC015883.1	599
AC015884.3	545
AC015908.1	211
AC015908.2	1444
AC015908.3	76
AC015908.4	310
AC015908.5	281
AC015908.6	159
AC015908.7	1309
AC015909.1	259
AC015909.2	49
AC015909.3	91
AC015909.4	397
AC015909.5	157
AC015910.1	296
AC015911.1	48
AC015911.10	69
AC015911.11	37
AC015911.2	105
AC015911.3	171
AC015911.4	117
AC015911.5	489
AC015911.6	226
AC015911.7	355
AC015911.8	168
AC015911.9	122
AC015912.1	40
AC015912.2	133
AC015912.3	48
AC015914.1	235
AC015914.2	360
AC015917.1	676
AC015917.2	50
AC015920.1	247
AC015921.1	1569
AC015922.1	161
AC015922.2	137
AC015922.3	3
AC015923.1	92
AC015936.1	392
AC015936.2	768
AC015943.1	1873
AC015959.1	818
AC015961.1	890
AC015961.2	832
AC015967.1	512
AC015967.2	571
AC015969.1	209
AC015971.1	319
AC015977.1	804
AC015977.2	468
AC015982.1	67
AC015982.2	545
AC015983.1	408
AC015983.2	140
AC015987.1	183
AC016026.1	188
AC016026.2	300
AC016027.1	120
AC016027.2	53
AC016027.3	28
AC016027.4	118
AC016027.5	16
AC016042.1	1958
AC016044.1	1478
AC016065.1	745
AC016065.2	160
AC016074.1	1691
AC016074.2	490
AC016134.1	216
AC016144.1	751
AC016152.1	955
AC016168.1	198
AC016168.2	750
AC016168.3	964
AC016168.4	1231
AC016168.5	1065
AC016180.1	890
AC016180.2	127
AC016182.1	1086
AC016229.1	1004
AC016229.2	709
AC016240.1	864
AC016245.1	291
AC016245.2	220
AC016251.1	524
AC016252.1	1808
AC016266.1	767
AC016292.1	475
AC016292.2	503
AC016304.1	1646
AC016355.1	838
AC016382.1	4277
AC016383.1	1857
AC016383.2	491
AC016383.3	1968
AC016394.1	66
AC016394.2	28
AC016394.3	14
AC016394.4	44
AC016396.1	202
AC016396.2	1507
AC016397.1	545
AC016397.2	427
AC016405.1	232
AC016405.2	91
AC016405.3	393
AC016493.1	457
AC016526.1	1964
AC016526.2	256
AC016526.3	2075
AC016526.4	1048
AC016542.1	153
AC016542.2	27
AC016542.3	19
AC016546.1	1684
AC016549.1	710
AC016550.1	364
AC016550.2	118
AC016550.3	832
AC016553.1	2827
AC016556.1	1703
AC016559.1	71
AC016559.2	158
AC016559.3	192
AC016571.1	227
AC016573.1	282
AC016575.1	473
AC016575.2	1419
AC016576.1	2807
AC016582.1	451
AC016582.2	125
AC016582.3	276
AC016583.1	323
AC016583.2	256
AC016586.1	17
AC016586.2	189
AC016587.1	465
AC016588.1	687
AC016588.2	148
AC016590.1	50
AC016590.2	52
AC016590.3	90
AC016590.4	41
AC016591.1	265
AC016595.1	1973
AC016596.1	156
AC016596.2	207
AC016596.3	53
AC016597.1	1196
AC016597.2	204
AC016597.3	412
AC016598.1	80
AC016598.2	257
AC016601.1	371
AC016612.1	487
AC016629.1	15
AC016629.2	8
AC016629.3	4
AC016632.1	454
AC016642.1	708
AC016644.1	748
AC016651.1	1790
AC016679.1	1712
AC016682.1	642
AC016683.1	1268
AC016687.1	434
AC016687.2	1870
AC016687.3	1358
AC016692.1	76
AC016696.1	1713
AC016700.1	11
AC016700.2	4
AC016705.1	741
AC016705.2	729
AC016705.3	131
AC016710.1	471
AC016710.2	263
AC016716.1	1168
AC016717.1	1734
AC016717.2	108
AC016717.3	1585
AC016721.1	3499
AC016722.1	739
AC016722.2	275
AC016724.1	247
AC016727.1	184
AC016727.2	179
AC016727.3	130
AC016730.1	2416
AC016734.1	110
AC016734.2	285
AC016735.1	339
AC016737.1	179
AC016737.2	242
AC016738.1	511
AC016739.1	766
AC016743.1	1721
AC016745.1	398
AC016745.2	22
AC016746.1	586
AC016747.1	124
AC016747.2	176
AC016747.3	70
AC016747.4	49
AC016751.1	2503
AC016751.2	495
AC016753.1	115
AC016753.2	38
AC016764.1	912
AC016766.1	765
AC016769.1	57
AC016769.2	152
AC016769.3	56
AC016769.4	246
AC016769.5	175
AC016769.6	100
AC016772.1	253
AC016773.1	351
AC016773.2	492
AC016813.1	129
AC016813.2	484
AC016816.1	3434
AC016820.1	1365
AC016821.1	297
AC016822.1	1064
AC016825.1	332
AC016831.1	11
AC016831.2	141
AC016831.3	110
AC016831.4	109
AC016831.5	549
AC016831.6	122
AC016866.1	185
AC016866.2	138
AC016866.3	484
AC016868.1	234
AC016876.1	140
AC016876.2	22
AC016876.4	46
AC016877.1	210
AC016877.2	448
AC016877.3	535
AC016885.1	690
AC016885.2	255
AC016885.3	463
AC016888.1	375
AC016894.1	171
AC016902.1	1245
AC016903.1	1218
AC016903.2	1490
AC016907.1	1244
AC016907.2	1726
AC016908.1	1865
AC016909.1	1954
AC016910.1	302
AC016910.2	596
AC016912.1	1
AC016924.1	178
AC016925.1	1402
AC016925.2	1245
AC016925.3	305
AC016930.1	344
AC016931.1	3555
AC016933.1	2056
AC016948.1	760
AC016949.1	68
AC016954.1	512
AC016956.1	1681
AC016957.1	194
AC016957.2	33
AC016959.1	169
AC016968.1	1687
AC016987.1	2261
AC016987.2	4291
AC016991.1	1
AC016993.1	384
AC016994.1	1099
AC016995.1	199
AC016999.1	946
AC016999.2	868
AC017000.1	3107
AC017002.1	242
AC017002.2	362
AC017002.3	92
AC017002.4	182
AC017006.1	318
AC017006.2	293
AC017007.1	206
AC017007.2	11
AC017007.3	720
AC017007.4	338
AC017007.5	233
AC017007.6	446
AC017013.1	1449
AC017015.1	226
AC017015.2	1418
AC017019.1	1
AC017028.1	710
AC017028.2	253
AC017033.1	1577
AC017037.1	926
AC017037.2	267
AC017037.3	156
AC017037.4	161
AC017037.5	429
AC017048.1	1430
AC017048.2	417
AC017048.3	227
AC017050.1	1217
AC017053.1	1703
AC017067.1	129
AC017071.1	192
AC017074.1	45
AC017074.2	53
AC017076.1	161
AC017083.1	167
AC017083.2	72
AC017083.3	103
AC017083.4	1316
AC017087.1	2624
AC017091.1	550
AC017099.1	26
AC017099.2	92
AC017100.1	170
AC017100.2	227
AC017101.1	510
AC017104.1	156
AC017104.2	33
AC017104.3	286
AC017104.4	60
AC017104.5	16
AC017104.6	55
AC017116.1	21
AC017116.2	6
AC018358.1	585
AC018359.1	3779
AC018362.1	59
AC018362.2	24
AC018371.1	405
AC018371.2	242
AC018398.1	293
AC018410.1	79
AC018413.1	270
AC018437.1	1283
AC018437.2	833
AC018437.3	1411
AC018442.1	322
AC018442.2	172
AC018442.3	93
AC018445.1	69
AC018445.2	556
AC018445.3	123
AC018445.4	142
AC018445.5	136
AC018445.6	290
AC018448.1	727
AC018448.2	646
AC018450.1	197
AC018450.2	204
AC018462.1	279
AC018462.2	80
AC018464.1	383
AC018467.1	1842
AC018470.1	409
AC018475.1	277
AC018495.1	4453
AC018500.1	187
AC018511.1	44
AC018511.2	296
AC018511.5	413
AC018512.1	1
AC018515.1	669
AC018521.1	7
AC018521.2	60
AC018521.3	554
AC018521.4	110
AC018521.5	58
AC018521.6	41
AC018521.7	260
AC018523.1	246
AC018523.2	232
AC018529.1	205
AC018529.2	194
AC018529.3	334
AC018541.1	2999
AC018545.1	322
AC018552.1	224
AC018552.2	778
AC018552.3	1180
AC018553.1	487
AC018553.2	173
AC018553.3	2322
AC018554.1	548
AC018557.1	165
AC018557.2	11
AC018557.3	38
AC018558.1	45
AC018558.2	48
AC018558.3	47
AC018558.4	153
AC018558.5	136
AC018558.6	211
AC018558.7	129
AC018563.1	1066
AC018563.2	440
AC018607.1	303
AC018616.1	283
AC018618.1	1560
AC018618.2	290
AC018620.1	273
AC018628.1	7
AC018628.2	125
AC018628.3	722
AC018629.1	231
AC018630.1	18
AC018630.2	7
AC018634.1	98
AC018635.1	73
AC018635.2	1467
AC018637.1	2417
AC018638.1	28
AC018638.2	1
AC018638.3	342
AC018638.4	11
AC018638.5	4
AC018638.6	33
AC018638.7	50
AC018638.8	23
AC018639.1	251
AC018641.1	4061
AC018643.1	566
AC018644.1	114
AC018645.1	40
AC018645.2	49
AC018645.3	41
AC018647.1	189
AC018647.2	853
AC018647.3	528
AC018648.1	164
AC018653.1	386
AC018653.2	453
AC018653.3	167
AC018653.4	189
AC018659.1	906
AC018659.2	626
AC018659.3	97
AC018659.4	79
AC018659.5	21
AC018659.6	172
AC018659.7	91
AC018659.8	342
AC018665.1	308
AC018678.1	1172
AC018680.1	1201
AC018682.1	185
AC018682.2	201
AC018685.1	558
AC018685.2	3031
AC018685.3	1004
AC018688.1	481
AC018688.2	1788
AC018690.1	1076
AC018692.1	226
AC018692.2	377
AC018692.3	847
AC018693.1	275
AC018693.2	40
AC018695.1	662
AC018695.2	266
AC018695.3	36
AC018695.4	88
AC018695.5	106
AC018695.6	283
AC018695.7	227
AC018695.8	439
AC018695.9	303
AC018697.1	893
AC018706.1	780
AC018709.1	314
AC018710.1	3418
AC018712.1	533
AC018712.2	908
AC018714.1	635
AC018714.2	1060
AC018716.1	964
AC018716.2	1025
AC018717.1	2365
AC018719.1	907
AC018730.1	629
AC018731.1	589
AC018735.1	437
AC018737.1	3192
AC018737.2	243
AC018738.1	396
AC018742.1	1009
AC018752.1	632
AC018754.1	847
AC018755.1	116
AC018755.2	224
AC018755.3	136
AC018755.4	400
AC018755.5	412
AC018761.1	27
AC018761.2	29
AC018761.3	45
AC018761.4	40
AC018765.1	752
AC018766.1	42
AC018767.1	807
AC018767.2	2255
AC018767.3	188
AC018781.1	265
AC018797.1	97
AC018797.2	135
AC018797.3	80
AC018802.1	2069
AC018802.2	1838
AC018804.1	79
AC018809.1	9
AC018809.2	42
AC018809.3	14
AC018814.1	931
AC018816.1	346
AC018816.2	1062
AC018832.1	1838
AC018845.1	517
AC018845.2	171
AC018845.3	138
AC018846.1	871
AC018861.1	493
AC018861.2	642
AC018865.1	16
AC018865.2	93
AC018866.1	2991
AC018866.2	1326
AC018868.1	167
AC018868.2	264
AC018878.1	361
AC018880.1	264
AC018880.2	1697
AC018889.1	186
AC018892.1	335
AC018892.2	170
AC018892.3	37
AC018904.1	232
AC018904.2	396
AC018926.1	11
AC018926.2	181
AC018926.3	15
AC018931.1	1841
AC018943.1	1137
AC018946.1	220
AC018946.2	102
AC018951.1	3706
AC018953.1	544
AC018953.2	459
AC018978.1	524
AC018992.1	103
AC019055.1	1188
AC019064.1	976
AC019068.1	779
AC019069.1	221
AC019070.1	202
AC019072.1	132
AC019077.1	812
AC019080.1	27
AC019080.2	115
AC019080.3	73
AC019080.4	52
AC019080.5	41
AC019084.1	303
AC019103.1	554
AC019117.1	1092
AC019117.2	697
AC019117.3	561
AC019117.4	132
AC019118.1	3796
AC019118.2	1607
AC019127.1	495
AC019129.1	418
AC019129.2	199
AC019130.1	450
AC019131.1	286
AC019131.2	82
AC019131.3	102
AC019133.1	666
AC019155.1	204
AC019155.2	270
AC019159.1	3681
AC019159.2	299
AC019163.1	1053
AC019171.1	91
AC019176.1	45
AC019176.2	4787
AC019176.3	178
AC019181.1	58
AC019183.1	816
AC019185.1	1387
AC019185.2	454
AC019186.1	349
AC019193.1	556
AC019193.2	36
AC019193.3	141
AC019193.4	656
AC019197.1	432
AC019205.1	547
AC019206.1	161
AC019209.1	255
AC019209.2	216
AC019209.3	80
AC019211.1	2235
AC019226.1	39
AC019226.2	429
AC019235.1	812
AC019254.1	363
AC019254.2	663
AC019257.1	888
AC019257.2	8
AC019257.8	48
AC019257.9	265
AC019270.1	357
AC019278.1	1305
AC019288.1	118
AC019294.1	207
AC019294.2	68
AC019294.3	145
AC019322.2	28
AC019322.3	14
AC019322.4	9
AC019322.5	14
AC019322.6	22
AC019330.1	1643
AC019349.1	1232
AC020549.1	150
AC020549.2	481
AC020549.3	183
AC020550.1	27
AC020550.2	141
AC020551.1	2690
AC020558.1	16
AC020558.2	19
AC020558.3	227
AC020558.4	193
AC020558.5	154
AC020558.6	121
AC020584.1	2148
AC020589.1	3461
AC020593.1	1058
AC020594.1	787
AC020595.1	752
AC020604.1	240
AC020611.1	354
AC020611.2	240
AC020612.1	44
AC020612.2	260
AC020612.3	114
AC020612.4	337
AC020629.1	355
AC020633.1	486
AC020634.1	501
AC020634.2	133
AC020636.1	371
AC020636.2	455
AC020637.1	523
AC020651.1	1658
AC020651.2	100
AC020655.1	2421
AC020656.1	519
AC020656.2	285
AC020658.1	249
AC020658.2	152
AC020658.3	124
AC020658.4	89
AC020658.5	262
AC020658.6	128
AC020658.7	143
AC020659.1	209
AC020659.2	100
AC020661.1	220
AC020661.2	40
AC020661.3	52
AC020661.4	153
AC020663.1	76
AC020663.2	74
AC020663.3	56
AC020663.4	226
AC020663.5	9
AC020687.1	2360
AC020688.1	303
AC020699.1	2597
AC020703.1	937
AC020704.1	1980
AC020718.1	2083
AC020719.1	1211
AC020728.1	112
AC020741.1	4564
AC020743.1	910
AC020743.2	391
AC020743.3	1006
AC020763.1	52
AC020763.2	126
AC020763.3	89
AC020763.4	214
AC020763.5	45
AC020765.1	36
AC020765.2	41
AC020765.3	23
AC020765.4	101
AC020765.5	23
AC020779.1	70
AC020779.2	334
AC020891.1	178
AC020891.2	58
AC020891.3	657
AC020891.4	433
AC020892.1	548
AC020892.2	222
AC020893.1	143
AC020893.2	160
AC020895.1	244
AC020895.2	828
AC020897.1	741
AC020899.1	914
AC020900.1	576
AC020904.1	98
AC020904.2	35
AC020904.3	995
AC020905.1	1327
AC020906.1	525
AC020907.1	143
AC020907.2	16
AC020907.3	110
AC020907.4	325
AC020907.5	45
AC020907.6	118
AC020908.1	341
AC020908.2	471
AC020908.3	93
AC020909.1	58
AC020909.2	199
AC020909.3	119
AC020910.1	84
AC020910.2	63
AC020910.3	174
AC020910.4	280
AC020910.5	276
AC020910.6	163
AC020910.7	74
AC020911.1	149
AC020911.2	273
AC020911.3	12
AC020911.4	96
AC020912.1	1287
AC020913.1	42
AC020913.2	47
AC020913.3	53
AC020914.1	444
AC020914.2	424
AC020914.3	319
AC020914.4	256
AC020914.5	362
AC020915.1	2
AC020915.2	56
AC020915.3	165
AC020915.4	44
AC020916.1	83
AC020916.2	35
AC020917.1	125
AC020917.2	85
AC020917.3	230
AC020917.4	169
AC020922.1	82
AC020922.2	117
AC020922.3	100
AC020922.4	65
AC020923.1	2275
AC020928.1	111
AC020928.2	136
AC020930.1	1539
AC020931.1	361
AC020934.1	312
AC020934.2	124
AC020937.1	271
AC020951.1	89
AC020978.1	105
AC020978.2	30
AC020978.3	11
AC020978.4	12
AC020978.5	21
AC020978.6	8
AC020978.7	13
AC020978.8	82
AC020978.9	27
AC020980.1	1131
AC020983.1	458
AC020987.1	1402
AC021006.1	709
AC021006.2	334
AC021016.1	60
AC021016.2	160
AC021028.1	850
AC021035.1	1375
AC021037.1	284
AC021055.1	720
AC021059.1	124
AC021066.1	135
AC021066.2	269
AC021066.3	476
AC021072.1	189
AC021074.1	189
AC021074.2	399
AC021074.3	234
AC021078.1	22
AC021086.1	184
AC021087.1	37
AC021087.2	379
AC021087.3	36
AC021087.4	77
AC021088.1	1198
AC021092.1	64
AC021097.1	79
AC021105.1	140
AC021106.1	374
AC021106.2	352
AC021106.3	861
AC021127.1	1533
AC021134.1	679
AC021134.2	4802
AC021146.1	114
AC021146.10	107
AC021146.11	49
AC021146.12	2
AC021146.2	60
AC021146.3	65
AC021146.4	97
AC021146.5	35
AC021146.6	77
AC021146.7	46
AC021146.8	141
AC021146.9	375
AC021148.1	19
AC021148.2	51
AC021148.3	164
AC021151.1	250
AC021171.1	242
AC021171.2	364
AC021180.1	1260
AC021188.1	599
AC021192.1	776
AC021192.2	1863
AC021193.1	6568
AC021205.1	160
AC021205.2	220
AC021205.3	143
AC021218.1	2873
AC021220.1	380
AC021220.2	484
AC021231.1	135
AC021231.2	164
AC021231.3	141
AC021236.1	188
AC021237.1	364
AC021242.1	1247
AC021242.2	467
AC021242.3	612
AC021269.1	92
AC021269.2	527
AC021269.3	140
AC021305.1	142
AC021321.1	227
AC021321.2	193
AC021351.1	1368
AC021355.1	4045
AC021382.1	483
AC021393.1	621
AC021422.1	240
AC021422.2	57
AC021424.1	930
AC021424.2	242
AC021424.3	47
AC021424.4	62
AC021443.1	49
AC021443.2	61
AC021443.3	208
AC021451.1	186
AC021451.2	711
AC021451.3	75
AC021483.1	30
AC021483.2	36
AC021491.1	180
AC021491.2	137
AC021491.3	545
AC021491.4	157
AC021504.1	4416
AC021506.1	1230
AC021506.2	1624
AC021517.1	720
AC021517.2	291
AC021534.1	6206
AC021546.1	246
AC021549.1	280
AC021549.2	587
AC021573.1	886
AC021590.1	305
AC021594.1	694
AC021594.2	656
AC021613.1	2081
AC021613.2	1312
AC021613.3	1512
AC021646.1	111
AC021646.2	190
AC021660.1	258
AC021660.2	67
AC021660.3	81
AC021660.4	158
AC021678.1	410
AC021678.2	628
AC021678.3	401
AC021683.1	1299
AC021683.2	306
AC021683.3	193
AC021683.4	1134
AC021683.5	1494
AC021683.6	155
AC021698.1	1592
AC021701.1	661
AC021713.1	1138
AC021723.1	1185
AC021723.2	3043
AC021733.1	333
AC021733.2	434
AC021733.3	253
AC021733.4	553
AC021736.1	291
AC021739.1	133
AC021739.2	22
AC021739.3	15
AC021739.4	65
AC021739.5	22
AC021744.1	3126
AC021749.1	2432
AC021752.1	292
AC021753.1	193
AC021755.1	464
AC021755.2	127
AC021755.3	87
AC021766.1	935
AC021785.1	817
AC021818.1	1186
AC021818.2	1005
AC021820.1	2098
AC021822.1	148
AC021851.1	117
AC021851.2	1032
AC021860.1	170
AC021863.1	1524
AC021876.1	276
